Domain_size k heur total_time solver_time
10000 2 7 0.3 0.28191
10000 4 7 2.49 2.455887
10000 6 7 16.32 16.182912
10000 8 7 98.09 97.20719
1000 2 8 0.28 0.261436
1000 4 8 2.27 2.234815
1000 6 8 14.75 14.612825
1000 8 8 86.33 85.423535
2000 2 8 0.29 0.274108
2000 4 8 2.33 2.298545
2000 6 8 15.14 15.002226
2000 8 8 89.68 88.756296
3000 2 8 0.29 0.270164
3000 4 8 2.65 2.615285
3000 6 8 15.85 15.70735
3000 8 8 91.32 90.397668
4000 2 8 0.29 0.267989
4000 4 8 2.38 2.344538
4000 6 8 15.23 15.091407
4000 8 8 91.3 90.35961
5000 2 8 0.3 0.28044
5000 4 8 2.45 2.404185
5000 6 8 15.84 15.699024
5000 8 8 94.31 93.3669
6000 2 8 0.32 0.299392
6000 4 8 2.41 2.381321
6000 6 8 15.79 15.654206
6000 8 8 94.09 93.1491
7000 2 8 0.29 0.271875
7000 4 8 2.39 2.359886
7000 6 8 15.9 15.76167
7000 8 8 93.92 92.971408
8000 2 8 0.29 0.272223
8000 4 8 2.39 2.360603
8000 6 8 15.67 15.533671
8000 8 8 93.31 92.395562
9000 2 8 0.29 0.272281
9000 4 8 2.45 2.420355
9000 6 8 17.07 16.921491
9000 8 8 98.56 97.633536
10000 2 8 0.34 0.317526
10000 4 8 2.55 2.51991
10000 6 8 16.41 16.270515
10000 8 8 97.5 96.564
1000 2 9 0.29 0.276138
1000 4 9 2.37 2.339901
1000 6 9 15.37 15.230133
1000 8 9 86.11 85.171401
2000 2 9 0.3 0.28602
2000 4 9 2.37 2.340849
2000 6 9 15.28 15.144008
2000 8 9 88.6 87.67856
3000 2 9 0.28 0.26614
3000 4 9 2.41 2.380357
3000 6 9 15.58 15.4242
3000 8 9 91.21 90.261416
4000 2 9 0.29 0.275529
4000 4 9 2.33 2.300642
4000 6 9 15.37 15.219374
4000 8 9 90.36 89.420256
5000 2 9 0.29 0.276051
5000 4 9 2.42 2.391202
5000 6 9 16.01 15.870713
5000 8 9 93.81 92.8719
6000 2 9 0.3 0.28605
6000 4 9 2.6 2.56958
6000 6 9 15.99 15.850887
6000 8 9 93.69 92.743731
7000 2 9 0.28 0.265944
7000 4 9 2.35 2.321095
7000 6 9 15.84 15.69744
7000 8 9 93.44 92.5056
8000 2 9 0.29 0.275703
8000 4 9 2.43 2.401569
8000 6 9 15.71 15.574894
8000 8 9 93.24 92.3076
9000 2 9 0.27 0.256635
9000 4 9 2.45 2.421825
9000 6 9 16.24 16.10196
9000 8 9 97.71 96.771984
10000 2 9 0.28 0.265692
10000 4 9 2.59 2.560215
10000 6 9 16.16 16.02264
10000 8 9 96.78 95.850912
1000 2 10 0.28 0.26516
1000 4 10 2.26 2.22949
1000 6 10 14.71 14.552603
1000 8 10 86.14 85.06325
2000 2 10 0.28 0.265608
2000 4 10 2.38 2.339302
2000 6 10 15.26 15.108926
2000 8 10 89.46 88.350696
3000 2 10 0.29 0.275993
3000 4 10 2.38 2.348346
3000 6 10 15.63 15.483078
3000 8 10 91.05 89.9574
4000 2 10 0.28 0.26572
4000 4 10 2.34 2.309112
4000 6 10 15.34 15.188134
4000 8 10 91.23 90.144363
5000 2 10 0.32 0.294464
5000 4 10 2.38 2.349774
5000 6 10 16.53 16.382883
5000 8 10 94.08 92.988672
6000 2 10 0.28 0.26614
6000 4 10 2.42 2.388782
6000 6 10 16.49 16.3251
6000 8 10 94.1 92.98021
7000 2 10 0.29 0.271817
7000 4 10 2.4 2.3664
7000 6 10 17.19 16.999191
7000 8 10 94.64 93.532712
8000 2 10 0.31 0.285789
8000 4 10 2.55 2.517105
8000 6 10 15.83 15.670117
8000 8 10 93.86 92.724294
9000 2 10 0.3 0.28116
9000 4 10 2.52 2.48598
9000 6 10 16.34 16.183136
9000 8 10 99.44 98.276552
10000 2 10 0.29 0.27173
10000 4 10 2.48 2.443792
10000 6 10 16.31 16.148531
10000 8 10 97.99 96.863115
